"","homocigoto","tipo_variante","cuantos_homo_tipo","gen","cuantos_homo_tipo_gen","conf","soporte_homo_tipo"
"215",0,"nonsynonymous SNV",146716,"AHR",77,0.000524823468469697,0.182510281410861
"216",0,"nonsynonymous SNV",146716,"AHRR",162,0.00110417405054663,0.182510281410861
"217",0,"nonsynonymous SNV",146716,"AHSG",38,0.000259003789634396,0.182510281410861
"218",0,"nonsynonymous SNV",146716,"AIMP1",50,0.000340794460045257,0.182510281410861
"219",0,"nonsynonymous SNV",146716,"AIP",17,0.000115870116415388,0.182510281410861
"220",0,"nonsynonymous SNV",146716,"AIPL1",1,6.81588920090515e-06,0.182510281410861
"221",0,"nonsynonymous SNV",146716,"AIRE",5,3.40794460045257e-05,0.182510281410861
"222",0,"nonsynonymous SNV",146716,"AK2",2,1.36317784018103e-05,0.182510281410861
"223",0,"nonsynonymous SNV",146716,"AKAP10",75,0.000511191690067886,0.182510281410861
"224",0,"nonsynonymous SNV",146716,"AKAP13",701,0.00477793832983451,0.182510281410861
"225",0,"nonsynonymous SNV",146716,"AKAP2,PALM2-AKAP2",99,0.00067477303088961,0.182510281410861
"226",0,"nonsynonymous SNV",146716,"AKAP9",173,0.00117914883175659,0.182510281410861
"227",0,"nonsynonymous SNV",146716,"AKR1B1",3,2.04476676027154e-05,0.182510281410861
"228",0,"nonsynonymous SNV",146716,"AKR1C1",3,2.04476676027154e-05,0.182510281410861
"229",0,"nonsynonymous SNV",146716,"AKR1C2",11,7.49747812099566e-05,0.182510281410861
"230",0,"nonsynonymous SNV",146716,"AKR1C3",18,0.000122686005616293,0.182510281410861
"231",0,"nonsynonymous SNV",146716,"AKR1C4",9,6.13430028081463e-05,0.182510281410861
"232",0,"nonsynonymous SNV",146716,"AKR1D1",2,1.36317784018103e-05,0.182510281410861
"233",0,"nonsynonymous SNV",146716,"AKR7A2",22,0.000149949562419913,0.182510281410861
"234",0,"nonsynonymous SNV",146716,"AKR7A3",173,0.00117914883175659,0.182510281410861
"235",0,"nonsynonymous SNV",146716,"AKT1",2,1.36317784018103e-05,0.182510281410861
"236",0,"nonsynonymous SNV",146716,"ALAD",2,1.36317784018103e-05,0.182510281410861
"237",0,"nonsynonymous SNV",146716,"ALCAM",1,6.81588920090515e-06,0.182510281410861
"238",0,"nonsynonymous SNV",146716,"ALDH16A1",11,7.49747812099566e-05,0.182510281410861
"239",0,"nonsynonymous SNV",146716,"ALDH18A1",1,6.81588920090515e-06,0.182510281410861
"240",0,"nonsynonymous SNV",146716,"ALDH1A1",1,6.81588920090515e-06,0.182510281410861
"241",0,"nonsynonymous SNV",146716,"ALDH1A2",81,0.000552087025273317,0.182510281410861
"242",0,"nonsynonymous SNV",146716,"ALDH2",1,6.81588920090515e-06,0.182510281410861
"243",0,"nonsynonymous SNV",146716,"ALDH4A1",1,6.81588920090515e-06,0.182510281410861
"244",0,"nonsynonymous SNV",146716,"ALDH5A1",12,8.17906704108618e-05,0.182510281410861
"245",0,"nonsynonymous SNV",146716,"ALDH7A1",2,1.36317784018103e-05,0.182510281410861
"246",0,"nonsynonymous SNV",146716,"ALG1",48,0.000327162681643447,0.182510281410861
"247",0,"nonsynonymous SNV",146716,"ALG10B",12,8.17906704108618e-05,0.182510281410861
"248",0,"nonsynonymous SNV",146716,"ALG11",3,2.04476676027154e-05,0.182510281410861
"249",0,"nonsynonymous SNV",146716,"ALG12",22,0.000149949562419913,0.182510281410861
"250",0,"nonsynonymous SNV",146716,"ALG13",1,6.81588920090515e-06,0.182510281410861
"251",0,"nonsynonymous SNV",146716,"ALG1L",133,0.000906513263720385,0.182510281410861
"252",0,"nonsynonymous SNV",146716,"ALG1L2",1,6.81588920090515e-06,0.182510281410861
